heatingHomeDwellingType,heatingHomeNoOfBedrooms,heatingHomeFuel,heatingHomeAge,heatingType,heatingKgCO2Year,units,heatingSource,default
Maisonette,2,Electricity,Post 1995,room heaters (convector panel or radiant heaters),3701,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),3481,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Boiler (average - 5-10yrs old),2901,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),2678,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Room Heaters,4200,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Warm Air,2984,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Back boiler,3213,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,1930 - 1995,Boiler (Condensing),2374,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),4503,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Boiler (average - 5-10yrs old),3752,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Boiler (new - less than 5 yrs old),3464,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Room Heaters,5257,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Warm Air,3860,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Back boiler,4156,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Pre 1930,Boiler (Condensing),3070,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Boiler (old - 12 - 15yrs old),2333,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Boiler (average - 5-10yrs old),1945,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Boiler (new - less than 5 yrs old),1795,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Room Heaters,3013,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Warm Air,2000,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Back boiler,2154,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,2,Gas,Post 1995,Boiler (Condensing),1591,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),4904,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Boiler (average - 5-10yrs old),3984,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),3750,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Room Heaters,6066,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Boiler (Condensing),3542,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,1930 - 1995,Warm Air,4554,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),6391,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Boiler (average - 5-10yrs old),5193,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Boiler (new - less than 5 yrs old),4887,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Room Heaters,7824,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Boiler (Condensing),4616,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Pre 1930,Warm Air,5935,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Boiler (old - 12 - 15yrs old),3228,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Boiler (average - 5-10yrs old),2623,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Boiler (new - less than 5 yrs old),2469,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Room Heaters,4086,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Boiler (Condensing),2332,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Oil,Post 1995,Warm Air,2998,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),4594,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,1930 - 1995,Boiler (average - 5-10yrs old),3828,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),3445,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,1930 - 1995,Boiler (Condensing),3132,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),5996,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Pre 1930,Boiler (average - 5-10yrs old),4997,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Pre 1930,Boiler (new - less than 5 yrs old),4497,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Pre 1930,Boiler (Condensing),4088,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Post 1995,Boiler (old - 12 - 15yrs old),3019,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Post 1995,Boiler (average - 5-10yrs old),2516,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Post 1995,Boiler (new - less than 5 yrs old),2264,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,LPG,Post 1995,Boiler (Condensing),2058,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,1930 - 1995,Boiler (wood chip/pellets),536,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,1930 - 1995,Stove,2236,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,Pre 1930,Boiler (wood chip/pellets),709,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,Pre 1930,Stove,2408,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,Post 1995,Boiler (wood chip/pellets),345,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Biomass,Post 1995,Stove,2044,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,1930 - 1995,Boiler - manual feed,7732,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,1930 - 1995,Boiler automatic (gravity) feed,7087,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,1930 - 1995,Open fires,11887,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,1930 - 1995,Closed room heaters,7194,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Pre 1930,Boiler - manual feed,10222,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Pre 1930,Boiler automatic (gravity) feed,9371,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Pre 1930,Open fires,16168,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Pre 1930,Closed room heaters,9477,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Post 1995,Boiler - manual feed,4970,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Post 1995,Boiler automatic (gravity) feed,4556,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Post 1995,Open fires,7140,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Coal,Post 1995,Closed room heaters,4662,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,1930 - 1995,Modern storage heaters (slim line),7539,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,1930 - 1995,old storage heaters (large volume),7539,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),6610,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Pre 1930,Modern storage heaters (slim line),9983,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Pre 1930,old storage heaters (large volume),9983,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),8614,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Post 1995,Modern storage heaters (slim line),4835,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Post 1995,old storage heaters (large volume),4835,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Electricity,Post 1995,room heaters (convector panel or radiant heaters),4360,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),4186,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Boiler (average - 5-10yrs old),3489,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),3220,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Room Heaters,4984,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Warm Air,3588,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Back boiler,3864,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,1930 - 1995,Boiler (Condensing),2854,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),5464,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Boiler (average - 5-10yrs old),4554,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Boiler (new - less than 5 yrs old),4203,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Room Heaters,6306,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Warm Air,4684,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Back boiler,5044,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Pre 1930,Boiler (Condensing),3726,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Boiler (old - 12 - 15yrs old),2751,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Boiler (average - 5-10yrs old),2292,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Boiler (new - less than 5 yrs old),2116,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Room Heaters,3499,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Warm Air,2358,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Back boiler,2539,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,3,Gas,Post 1995,Boiler (Condensing),1876,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),5658,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Boiler (average - 5-10yrs old),4597,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),4327,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Room Heaters,6999,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Boiler (Condensing),4086,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,1930 - 1995,Warm Air,5254,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),7374,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Boiler (average - 5-10yrs old),5992,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Boiler (new - less than 5 yrs old),5639,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Room Heaters,9027,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Boiler (Condensing),5326,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Pre 1930,Warm Air,6847,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Boiler (old - 12 - 15yrs old),3725,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Boiler (average - 5-10yrs old),3026,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Boiler (new - less than 5 yrs old),2848,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Room Heaters,4715,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Boiler (Condensing),2690,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Oil,Post 1995,Warm Air,3459,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),5301,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,1930 - 1995,Boiler (average - 5-10yrs old),4417,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),3976,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,1930 - 1995,Boiler (Condensing),3614,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),6919,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Pre 1930,Boiler (average - 5-10yrs old),5766,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Pre 1930,Boiler (new - less than 5 yrs old),5189,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Pre 1930,Boiler (Condensing),4717,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Post 1995,Boiler (old - 12 - 15yrs old),3483,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Post 1995,Boiler (average - 5-10yrs old),2903,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Post 1995,Boiler (new - less than 5 yrs old),2612,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,LPG,Post 1995,Boiler (Condensing),2375,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,1930 - 1995,Boiler (wood chip/pellets),619,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,1930 - 1995,Stove,2580,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,Pre 1930,Boiler (wood chip/pellets),818,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,Pre 1930,Stove,2779,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,Post 1995,Boiler (wood chip/pellets),398,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Biomass,Post 1995,Stove,2359,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,1930 - 1995,Modern storage heaters (slim line),8699,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,1930 - 1995,old storage heaters (large volume),8699,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),7628,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Pre 1930,Modern storage heaters (slim line),11519,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Pre 1930,old storage heaters (large volume),11519,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),9939,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Post 1995,Modern storage heaters (slim line),5579,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Post 1995,old storage heaters (large volume),5579,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Electricity,Post 1995,room heaters (convector panel or radiant heaters),5031,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,1930 - 1995,Boiler - manual feed,8921,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,1930 - 1995,Boiler automatic (gravity) feed,8178,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,1930 - 1995,Open fires,13716,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,1930 - 1995,Closed room heaters,8301,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Pre 1930,Boiler - manual feed,11795,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Pre 1930,Boiler automatic (gravity) feed,10812,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Pre 1930,Open fires,18656,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Pre 1930,Closed room heaters,10935,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Post 1995,Boiler - manual feed,5735,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Post 1995,Boiler automatic (gravity) feed,5257,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Post 1995,Open fires,8239,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Coal,Post 1995,Closed room heaters,5380,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),4831,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Boiler (average - 5-10yrs old),4026,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),3716,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Room Heaters,5751,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Warm Air,4141,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Back boiler,4459,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,1930 - 1995,Boiler (Condensing),3294,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),6305,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Boiler (average - 5-10yrs old),5254,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Boiler (new - less than 5 yrs old),4850,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Room Heaters,7276,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Warm Air,5404,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Back boiler,5820,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Pre 1930,Boiler (Condensing),4299,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Boiler (old - 12 - 15yrs old),3174,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Boiler (average - 5-10yrs old),2645,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Boiler (new - less than 5 yrs old),2442,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Room Heaters,4038,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Warm Air,2721,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Back boiler,2930,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,4,Gas,Post 1995,Boiler (Condensing),2164,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),6372,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Boiler (average - 5-10yrs old),5177,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),4872,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Room Heaters,7882,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Boiler (Condensing),4602,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,1930 - 1995,Warm Air,5916,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),8304,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Boiler (average - 5-10yrs old),6747,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Boiler (new - less than 5 yrs old),6350,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Room Heaters,10166,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Boiler (Condensing),5997,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Pre 1930,Warm Air,7711,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Boiler (old - 12 - 15yrs old),4195,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Boiler (average - 5-10yrs old),3408,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Boiler (new - less than 5 yrs old),3208,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Room Heaters,5310,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Boiler (Condensing),3030,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Oil,Post 1995,Warm Air,3895,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),5969,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,1930 - 1995,Boiler (average - 5-10yrs old),4974,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),4477,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,1930 - 1995,Boiler (Condensing),4070,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),7791,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Pre 1930,Boiler (average - 5-10yrs old),6493,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Pre 1930,Boiler (new - less than 5 yrs old),5843,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Pre 1930,Boiler (Condensing),5312,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Post 1995,Boiler (old - 12 - 15yrs old),3922,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Post 1995,Boiler (average - 5-10yrs old),3268,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Post 1995,Boiler (new - less than 5 yrs old),2942,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,LPG,Post 1995,Boiler (Condensing),2674,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,1930 - 1995,Boiler (wood chip/pellets),697,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,1930 - 1995,Stove,2905,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,Pre 1930,Boiler (wood chip/pellets),921,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,Pre 1930,Stove,3129,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,Post 1995,Boiler (wood chip/pellets),448,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Biomass,Post 1995,Stove,2656,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,1930 - 1995,Modern storage heaters (slim line),9796,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,1930 - 1995,old storage heaters (large volume),9796,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),8589,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Pre 1930,Modern storage heaters (slim line),12971,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Pre 1930,old storage heaters (large volume),12971,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),11193,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Post 1995,Modern storage heaters (slim line),6282,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Post 1995,old storage heaters (large volume),6282,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Electricity,Post 1995,room heaters (convector panel or radiant heaters),5665,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,1930 - 1995,Boiler - manual feed,10046,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,1930 - 1995,Boiler automatic (gravity) feed,9209,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,1930 - 1995,Open fires,15446,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,1930 - 1995,Closed room heaters,9347,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Pre 1930,Boiler - manual feed,13283,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Pre 1930,Boiler automatic (gravity) feed,12176,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Pre 1930,Open fires,21008,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Pre 1930,Closed room heaters,12314,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Post 1995,Boiler - manual feed,6458,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Post 1995,Boiler automatic (gravity) feed,5920,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Post 1995,Open fires,9278,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Coal,Post 1995,Closed room heaters,6058,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),5440,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Boiler (average - 5-10yrs old),4533,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),4184,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Room Heaters,6476,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Warm Air,4663,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Back boiler,5021,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,1930 - 1995,Boiler (Condensing),3709,kgCO2/year,defra/BRE/dgen 2007,
Maisonette,5,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),7100,kgCO2/year,defra/BRE/dgen 2007,
