"data_center_id","data_center_location","geocode_country","geocode_state","region_network","product_id","product_line","product_name","product_server_type","count","watts"
"A-1-9SJIJJ","San Jose, CA","US","CA","Flash5 Windows","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"A-1-9SJIJJ","San Jose, CA","US","CA","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",41,9225
"1-3PGVRT","Ashburn, VA (Building G - DC3)","US","VA",,"1-3R6G1X","Akamai Switches","HP ProCurve Switch 3400cl-24G",,41,2870
"1-5PKZTB","Houston, TX","US","TX","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",41,11275
"1-5RUQN","San Jose, CA (SV1)","US","CA","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",41,11275
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",41,9225
"A-1-7IUSZL","Santa Clara, CA","US","CA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",41,9225
"A-1-ARYWL8","London, UK","GB","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",41,11275
"A-1-AY55QB","New York, New York","US","NY",,"A-1-AA82SX","Akamai Switches","HP ProCurve Switch 2900-48G",,41,6765
"B-3-17JT4I","Syracuse, NY","US","NY","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",41,9225
"B-3-1DO7MJ","Seattle, WA","US","WA","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",41,9225
"B-3-1UCGB1","London, UK","GB","N/A","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",41,9225
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-1Z7FHL","Dallas, TX","US","TX","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-23Z7NK","Miami","US","FL","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-2LA8OU","Miami, FL","US","FL","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-2VPEMP","Paris, France - TSYS, Boulevard Voltaire","FR","N/A","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-34TQRK","Amsterdam","NL","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"1-34TQRK","Amsterdam","NL","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",40,11000
"1-3ANUGI","Frankfurt Gutleutstrasse","DE","N/A","ESSL","1-3DGQ7L","Akamai Servers","Verari 2x4-G1 Opteron Server","2x4 G1",40,11400
"1-3CURE5","Frankfurt Lyoner Strasse","DE","N/A","FreeFlow","B-3-2Q0DVB","Akamai Servers","Dell 2x8-G4 8G CacheH SAS Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-3DBM1P","Shinagawa, Tokyo","JP","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",40,11000
"1-416AWX","Paris, France - PAR3","FR","N/A","Other","A-1-8PAMRC","Akamai Servers","ZT Group 2x2-G3 SATA Opteron Server","2x2 G3 SATA",40,7800
"1-416AWX","Paris, France - PAR3","FR","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",40,11000
"1-5HE1X2","Madrid, Spain","ES","N/A","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-5RUQN","San Jose, CA (SV1)","US","CA","FreeFlow","B-3-2Q0DVB","Akamai Servers","Dell 2x8-G4 8G CacheH SAS Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-6BTFJL","Dallas, TX","US","TX","Flash5 Windows","A-1-8NVY3H","Akamai Servers","Verari 2x8-G3 Opteron Server {Rev B}","2x8 G3",40,11000
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","A-1-A0QWUX","Akamai Servers","Verari 2x8-G4 Opteron Server","2x8 G4",40,9000
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-7K0IS","Newark, NJ","US","NJ","ESSL","1-3DGQ7L","Akamai Servers","Verari 2x4-G1 Opteron Server","2x4 G1",40,11400
"1-9UV4","Copenhagen","DK","N/A","FreeFlow","B-3-2Q0PA7","Akamai Servers","Verari 1x8-G4 Opteron Server","1x8 G4",40,7600
"1-9UVB","Haninge, Sweden","SE","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"1-EB94W","Seattle, WA","US","WA","FreeFlow","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"1-EB94W","Seattle, WA","US","WA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-EO46E","Hamburg, Germany","DE","N/A","FreeFlow","B-3-2Q0PA7","Akamai Servers","Verari 1x8-G4 Opteron Server","1x8 G4",40,7600
"A-1-7IUSZL","Santa Clara, CA","US","CA","Flash5 Windows","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"A-1-7IUSZL","Santa Clara, CA","US","CA","FreeFlow","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"A-1-7IUSZL","Santa Clara, CA","US","CA","EUC","B-3-1JR0DO","Akamai Servers","ZT Group 1x2-G4 Opteron Server","1x2 G4",40,6400
"A-1-8GXNBD","OPAL-BHX Birmingham","GB","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"A-1-8U75Q5","Seattle - Westin","US","WA","Infra","A-1-8PAMRC","Akamai Servers","ZT Group 2x2-G3 SATA Opteron Server","2x2 G3 SATA",40,7800
"A-1-8U75Q5","Seattle - Westin","US","WA","Flash5 Windows","B-3-32680Y","Akamai Servers","ZT Group 2x8-G4 8GB SAS Opteron Server","2x8 G4 SAS",40,9000
"A-1-8U75Q5","Seattle - Westin","US","WA","FreeFlow","B-3-32680Y","Akamai Servers","ZT Group 2x8-G4 8GB SAS Opteron Server","2x8 G4 SAS",40,9000
"A-1-A5NJYP","Shinkawa, Tokyo (Verio), Japan","JP","N/A","FreeFlow","B-3-1CNU5A","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",40,9000
