appliancesDevice,appliancesRating,appliancesAge,appliancesKWhPerYear,appliancesKWhPerCycle,units,appliancesSource,algorithm,default
Washing machine (60),A+,over 12 years,0,0.825,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),A,up to 12 years,0,0.983,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),A,over 12 years,0,0.922,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),B,up to 12 years,0,1.09,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),B,over 12 years,0,1.02,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),C,up to 12 years,0,1.19,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),C,over 12 years,0,1.12,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),D,up to 12 years,0,1.29,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),D,over 12 years,0,1.21,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),E,up to 12 years,0,1.4,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),E,over 12 years,0,1.31,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),F,up to 12 years,0,1.5,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),F,over 12 years,0,1.41,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),G,up to 12 years,0,1.6,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),G,over 12 years,0,1.5,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (60),Other,up to 12 years,0,1.14,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (60),Other,over 12 years,0,1.3,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (90),A+,up to 12 years,0,1.47,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),A+,over 12 years,0,1.38,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),A,up to 12 years,0,1.64,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),A,over 12 years,0,1.54,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),B,up to 12 years,0,1.81,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),B,over 12 years,0,1.71,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),C,up to 12 years,0,1.98,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),C,over 12 years,0,1.87,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),D,up to 12 years,0,2.16,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),D,over 12 years,0,2.03,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),E,up to 12 years,0,2.33,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),E,over 12 years,0,2.19,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),F,up to 12 years,0,2.5,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),F,over 12 years,0,2.35,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),G,up to 12 years,0,2.67,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),G,over 12 years,0,2.52,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (90),Other,up to 12 years,0,1.9,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (90),Other,over 12 years,0,2.2,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Personal Computers,Desktop,-,285,0,kWh/year,dgen / defra 2007,value*user_numberOfDesktops*fuel_electricity,default
Personal Computers,Laptop,-,85.8,0,kWh/year,dgen / defra 2007,value*user_numberOfLaptops*fuel_electricity,
Printer,Inkjet,-,23.8,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Printer,Laser,-,94.5,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Set-top boxes,Cable,-,189,0,kWh/year,dgen / defra 2007,value*user_numberOfCableBoxes*fuel_electricity,
Set-top boxes,Satellite,-,190,0,kWh/year,dgen / defra 2007,value*user_numberOfSatelliteBoxes*fuel_electricity,
Set-top boxes,Freeview box,-,73,0,kWh/year,dgen / defra 2007,value*user_numberOfFreeviewBoxes*fuel_electricity,
Video,DVD,-,43.3,0,kWh/year,dgen / defra 2007,value*user_numberOfDVDs*fuel_electricity,
Video,VCR,-,55.1,0,kWh/year,dgen / defra 2007,value*user_numberOfVCRs*fuel_electricity,
Video,HDD,-,190,0,kWh/year,dgen / defra 2007,value*user_numberOfHDDs*fuel_electricity,
PSU,0 - 4,-,47,0,kWh/year,dgen / defra 2007,value,
PSU,5 - 8,-,141,0,kWh/year,dgen / defra 2007,value,
PSU,9 or more,-,235,0,kWh/year,dgen / defra 2007,value,
PSU,0,-,0,0,kWh/year,dgen / defra 2007,value,
PSU,1 - 4,-,47,0,kWh/year,dgen / defra 2007,value,
